,department,course,title,credit hours (u),credit hours (l),lecture hours (u),lecture hours (l),lab hours (u),lab hours (l),other hours (u),other hours (l),description,Prerequisites,Tag
0,CSCE,110,Programming I,4,4,3,3,2,2,,,"Basic concepts in using computation to enhance problem solving abilities; understanding how people communicate with computers, and how computing affects society; computational thinking; representation of data; analysis of program behavior; methods for identifying and fixing errors in programs; understanding abilities and limitation of programs; development and execution of programs.",N/A,optional
1,CSCE,111,Introduction to Computer Science Concepts and Programming,4,4,3,3,2,2,,,"Computation to enhance problem solving abilities; understanding how people communicate with computers, and how computing affects society; computational thinking; software design principles, including algorithm design, data representation, abstraction, modularity, structured and object oriented programming, documentation, testing, portability, and maintenance; understanding programs’ abilities and limitations; development and execution programs.",N/A,optional
2,CSCE,120,Program Design and Concepts,3,3,3,3,1,1,,,"Extend prior programming knowledge to create computer programs that solve problems; use the C++ language; apply computational thinking to enhance problem solving; analyze, design and implement computer programs; use basic and aggregate data types to develop functional and object oriented solutions; develop classes that use dynamic memory and avoid memory leaks; learn error handling strategies to develop more secure and robust programs. Prerequisite: Grade of C or better in ENGR 102, CSCE 110, CSCE 111, or CSCE 206, or equivalent.",CSCE 110,optional
3,CSCE,121,Introduction to Program Design and Concepts,4,4,3,3,2,2,,,"Computation to enhance problem solving abilities; computational thinking; understanding how people communicate with computers, how computing affects society; design and implementation of algorithms; data types, program control, iteration, functions, classes, and exceptions; understanding abstraction, modularity, code reuse, debugging, maintenance, and other aspects of software development; development and execution of programs. Prerequisite: Programming course (high school or college).",non-course related,required
4,CSCE,181,Introduction to Computing,1,1,1,1,,,,,Introduction to the broad field of computing; presentations from industry and academia about how computer science concepts are used in research and end products; includes a major writing component.,N/A,required
5,CSCE,201,Fundamentals of Cybersecurity,3,3,3,3,,,,,"Basic terminology, concepts, technology, and trends of cybersecurity; foundations of cybersecurity to include cryptography, public key infrastructure, standards and protocols, physical security, network fundamentals; workings of systems, networks, infrastructure; legal and ethical issues in cybersecurity. Cross Listing: CYBR 201/CSCE 201.",N/A,optional
6,CSCE,206,Structured Programming in C,4,4,3,3,2,2,,,"(COSC 1420) Structured Programming in C.   Basic concepts, nomenclature and historical perspective of computers and computing; internal representation of data; software design principles and practice; structured and object-oriented programming in C; use of terminals, operation of editors and executions of student-written programs.",N/A,optional
7,CSCE,221,Data Structures and Algorithms,4,4,3,3,2,2,,,"Specification and implementation of basic abstract data types and their associated algorithms including stacks, queues, lists, sorting and selection, searching, graphs, and hashing; performance tradeoffs of different implementations and asymptotic analysis of running time and memory usage; includes the execution of student programs written in C++. Prerequisite: CSCE 113 or CSCE 121; CSCE 222/ECEN 222 or ECEN 222/CSCE 222, or concurrent enrollment.",CSCE 113,required
8,CSCE,222,Discrete Structures for Computing,3,3,3,3,,,,,"Provide mathematical foundations from discrete mathematics for analyzing computer algorithms, for both correctness and performance; introduction to models of computation, including finite state machines and Turing machines. Prerequisite: MATH 151. Cross Listing: ECEN 222/CSCE 222.",CSCE 222,required
9,CSCE,285,Directed Studies,4,0,4,0,,,,,Special project in computer science; project must be approved by the department. Prerequisite: Approval of department head; also taught at Galveston campus.,non-course related,optional
10,CSCE,289,Special Topics in...,4,1,4,1,,,,,Selected topics in an identified area of computer science. May be repeated for credit. Prerequisite: Approval of instructor.,non-course related,optional
11,CSCE,291,Research,4,0,,,,,4,0,Research conducted under the direction of faculty member in computer science. May be taken three times for credit. Prerequisites: Freshman or sophomore classification and approval of instructor.,non-course related,optional
12,CSCE,305,Computational Data Science,3,3,3,3,,,,,"Computational practice of data science through a sequence of interactive modules that provides an integrated hands-on approach to its methods, tools, applications and supporting technologies including high performance and cloud computing platforms. Prerequisites: Grade of C or better in ENGR 102 or prior programming experience; grade of C or better in MATH 251, MATH 253, or STAT 211; junior or senior classification. Cross Listing: ECEN 360 and STAT 315.",ENGR 102,optional
13,CSCE,310,Database Systems,3,3,3,3,,,,,"File structures and access methods; database modeling, design and user interface; components of database management systems; information storage and retrieval, query languages, high-level language interface with database systems. Prerequisites: CSCE 221 with a grade of C or better; junior or senior classification.",CSCE 221,Information and Intelligent Systems
14,CSCE,312,Computer Organization,4,4,3,3,2,2,,,"Introduction to computer systems from programmer's perspective including simple logic design, data representation and processor architecture, programming of processors, memory, control flow, input/output, and performance measurements; hands-on lab assignments. Prerequisites: Grade of C or better in CSCE 221, or concurrent enrollment; or approval of instructor.",CSCE 221,required
15,CSCE,313,Introduction to Computer Systems,4,4,3,3,2,2,,,"Introduction to system support for application programs, both on single node and over network including OS application interface, inter-process communication, introduction to system and network programming, and simple computer security concepts; hands-on lab assignments. Prerequisite: CSCE 221 with a grade of C or better; CSCE 312 or corequisite CSCE 350/ECEN 350.",CSCE 221,required
16,CSCE,314,Programming Languages,3,3,3,3,,,,,"Exploration of the design space of programming languages via an in-depth study of two programming languages, one functional and one object-oriented; focuses on idiomatic uses of each language and on features characteristic for each language. Prerequisites: Grade of C or better in CSCE 221, or concurrent enrollment; or approval of instructor.",CSCE 221,required
17,CSCE,315,Programming Studio,3,3,2,2,2,2,,,"Intensive programming experience that integrates core concepts in Computer Science and familiarizes with a variety of programming/development tools and techniques; students work on 2 or 3 month-long projects each emphasizing a different specialization within Computer Science; focuses on programming techniques to ease code integration, reusability, and clarity. Prerequisites: CSCE 312 and CSCE 314; or CSCE 350/ECEN 350. Corequisite: CSCE 313.",CSCE 312,required
18,CSCE,320,Principles of Data Science,3,3,3,3,,,,,"Theoretical foundations, algorithms and methods of deriving valuable insights from data; includes foundations in managing and analyzing data at scale, e.g. big data; data mining techniques and algorithms; exploratory data analysis; statistical methods and models; data visualization. Prerequisites: STAT 211 or ECEN 303; STAT 212 or CSCE 222/ECEN 222. Cross Listing: STAT 335/CSCE 320.",CSCE 222,Information and Intelligent Systems
19,CSCE,331,Foundations of Software Engineering,4,4,3,3,2,2,,,"Intensive programming experience that provides the fundamentals needed for larger-scale software development; integration of concepts in computer science and familiarization with a variety of programming and development tools and techniques; team projects each emphasizing a different specialization within computer science; emphasis on programming techniques to ease code integration and clarity. Prerequisite: CSCE 314, CSCE 350/ECEN 350, or ECEN 350/CSCE 350; concurrent enrollment in CSCE 313.",CSCE 314,optional
20,CSCE,350,Computer Architecture and Design,4,4,3,3,3,3,,,"Computer architecture and design; use of register transfer languages and simulation tools to describe and simulate computer operation; central processing unit organization, microprogramming, input/output and memory system architectures. Prerequisites: Grade of C or better in ECEN 248; junior or senior classification. Cross Listing: ECEN 350/CSCE 350.",CSCE 350,optional
21,CSCE,399,High-Impact Experience,0,0,,,,,0,0,Participation in an approved high-impact learning practice; documentation and self-assessment of learning experience. Prerequisite: Junior or senior classification.,non-course related,required
22,CSCE,402,Law and Policy in Cybersecurity,3,3,3,3,,,,,"Examination of law and policy issues related to cybersecurity for the spectrum of cybersecurity jobs; includes procurement, operations and maintenance, governance and oversight, protection and defense, analysis, intelligence collection and operation and investigation cybersecurity jobs. Prerequisites: Junior or senior classification; MARA-403 taught at Galveston campus. Cross Listing: MARA 403/CSCE 402.",CSCE 402,untracked
23,CSCE,410,Operating Systems,3,3,3,3,,,,,"Hardware/software evolution leading to contemporary operating systems; basic operating systems concepts; methods of operating systems design and construction including algorithms for CPU scheduling, memory and general resource allocation, process coordination and management; case studies of several operating systems. Prerequisites: CSCE 313 and CSCE 315.",CSCE 313,Systems
